run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,67939.0000,0.0224,265.3867,33676.0000,0.0072,34263.0000,0.0373,131.5469,133.8398,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,0.0254,24.0000,0.0551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,39.4872,25.6410,13.8462,0.0000,0.0000
rd1,2,999988.0000,29349.0000,0.1314,114.6445,14671.0000,0.0020,14678.0000,0.2608,57.3086,57.3359,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0424,12.0000,0.0938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.3333,6.6667,16.6667,0.0000,0.0000
rd1,3,999988.0000,30288.0000,0.1272,118.3125,15021.0000,0.0020,15267.0000,0.2504,58.6758,59.6367,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0291,12.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.9570,11.8280,16.1290,0.0000,0.0000
rd1,4,999988.0000,28103.0000,0.1351,109.7773,14040.0000,0.0020,14063.0000,0.2679,54.8438,54.9336,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0561,11.0000,0.1459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.1028,4.6729,22.4299,0.0000,0.0000
rd1,5,999988.0000,31211.0000,0.1237,121.9180,15599.0000,0.0012,15612.0000,0.2462,60.9336,60.9844,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0701,11.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,55.6604,33.9623,21.6981,0.0000,0.0000
rd1,6,999988.0000,33889.0000,0.1130,132.3789,16944.0000,0.0014,16945.0000,0.2245,66.1875,66.1914,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0358,16.0000,0.0247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.6667,4.7619,21.9048,0.0000,0.0000
rd1,7,999988.0000,42283.0000,0.0904,165.1680,21232.0000,0.0024,21051.0000,0.1790,82.9375,82.2305,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0429,16.0000,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,33.0189,7.5472,25.4717,0.0000,0.0000
rd1,8,999988.0000,38259.0000,0.1012,149.4492,19185.0000,0.0161,19074.0000,0.1868,74.9414,74.5078,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0206,14.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,22.3301,4.8544,17.4757,0.0000,0.0000
rd1,9,999988.0000,45104.0000,0.0837,176.1875,22535.0000,0.0016,22569.0000,0.1657,88.0273,88.1602,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0398,17.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,45.6311,18.4466,27.1845,0.0000,0.0000
rd1,10,999988.0000,42244.0000,0.0925,165.0156,21134.0000,0.0013,21110.0000,0.1838,82.5547,82.4609,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0290,17.0000,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,45.0980,21.5686,23.5294,0.0000,0.0000
rd1,11,999988.0000,34705.0000,0.1085,135.5664,17364.0000,0.0014,17341.0000,0.2158,67.8281,67.7383,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0295,13.0000,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,33.6449,10.2804,23.3645,0.0000,0.0000
rd1,12,999988.0000,34806.0000,0.1098,135.9609,17346.0000,0.0034,17460.0000,0.2155,67.7578,68.2031,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0415,13.0000,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.7525,2.9703,21.7822,0.0000,0.0000
rd1,13,999988.0000,30223.0000,0.1281,118.0586,15173.0000,0.0295,15050.0000,0.2275,59.2695,58.7891,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0246,12.0000,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.6667,5.7143,20.9524,0.0000,0.0000
rd1,14,999988.0000,36488.0000,0.1030,142.5312,18236.0000,0.0045,18252.0000,0.2014,71.2344,71.2969,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0281,16.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,31.2500,5.3571,25.8929,0.0000,0.0000
rd1,15,999988.0000,30086.0000,0.1261,117.5234,15059.0000,0.0042,15027.0000,0.2483,58.8242,58.6992,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0325,11.0000,0.3807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.6190,3.8095,23.8095,0.0000,0.0000
rd1,16,999988.0000,25758.0000,0.1481,100.6172,12831.0000,0.0018,12927.0000,0.2933,50.1211,50.4961,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0401,9.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,15.2174,2.1739,13.0435,0.0000,0.0000
rd1,17,999988.0000,32485.0000,0.1202,126.8945,16283.0000,0.0031,16202.0000,0.2379,63.6055,63.2891,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0295,13.0000,0.0258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.7619,1.9048,22.8571,0.0000,0.0000
rd1,18,999988.0000,30943.0000,0.1243,120.8711,15671.0000,0.0105,15272.0000,0.2410,61.2148,59.6562,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0311,13.0000,0.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,22.3301,2.9126,19.4175,0.0000,0.0000
rd1,19,999988.0000,33894.0000,0.1129,132.3984,16934.0000,0.0037,16960.0000,0.2220,66.1484,66.2500,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0288,14.0000,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.8532,2.7523,21.1009,0.0000,0.0000
